"r" "LT_gof_method" "beta" "sample_size" "power"
"1" "1" "LT_ODE" 0.001 50 0.0546
"2" "1" "LT_ODE" 0.005 50 0.0505
"3" "1" "LT_ODE" 0.01 50 0.0535
"4" "1" "LT_ODE" 0.05 50 0.0586
"5" "1" "LT_ODE" 0.1 50 0.0538
"6" "1" "LT_ODE" 0.5 50 0.0538
"7" "1" "LT_ODE" 1 50 0.047
"8" "1" "LT_ODE" 5 50 0.0403
"9" "1" "LT_ODE" 10 50 0.0333
"10" "1" "LT_ODE" 50 50 0.0214
"11" "1" "LT_ODE" 100 50 0.0173
"12" "1" "LT_ODE" 500 50 0.003
"13" "1" "LT_ODE" 0.001 100 0.0498
"14" "1" "LT_ODE" 0.005 100 0.0455
"15" "1" "LT_ODE" 0.01 100 0.049
"16" "1" "LT_ODE" 0.05 100 0.0561
"17" "1" "LT_ODE" 0.1 100 0.0472
"18" "1" "LT_ODE" 0.5 100 0.048
"19" "1" "LT_ODE" 1 100 0.0555
"20" "1" "LT_ODE" 5 100 0.0441
"21" "1" "LT_ODE" 10 100 0.0478
"22" "1" "LT_ODE" 50 100 0.0351
"23" "1" "LT_ODE" 100 100 0.0308
"24" "1" "LT_ODE" 500 100 0.0072
"25" "1" "LT_L2" 0.001 50 0.0557
"26" "1" "LT_L2" 0.005 50 0.0596
"27" "1" "LT_L2" 0.01 50 0.056
"28" "1" "LT_L2" 0.05 50 0.0534
"29" "1" "LT_L2" 0.1 50 0.0567
"30" "1" "LT_L2" 0.5 50 0.0571
"31" "1" "LT_L2" 1 50 0.0561
"32" "1" "LT_L2" 5 50 0.0426
"33" "1" "LT_L2" 10 50 0.0438
"34" "1" "LT_L2" 50 50 0.0474
"35" "1" "LT_L2" 100 50 0.0431
"36" "1" "LT_L2" 500 50 0.0262
"37" "1" "LT_L2" 0.001 100 0.047
"38" "1" "LT_L2" 0.005 100 0.0576
"39" "1" "LT_L2" 0.01 100 0.0558
"40" "1" "LT_L2" 0.05 100 0.0516
"41" "1" "LT_L2" 0.1 100 0.0541
"42" "1" "LT_L2" 0.5 100 0.053
"43" "1" "LT_L2" 1 100 0.0483
"44" "1" "LT_L2" 5 100 0.0447
"45" "1" "LT_L2" 10 100 0.0475
"46" "1" "LT_L2" 50 100 0.0452
"47" "1" "LT_L2" 100 100 0.0481
"48" "1" "LT_L2" 500 100 0.0341
"49" "1/2" "LT_ODE" 0.001 50 0.6508
"50" "1/2" "LT_ODE" 0.005 50 0.6648
"51" "1/2" "LT_ODE" 0.01 50 0.7475
"52" "1/2" "LT_ODE" 0.05 50 0.6382
"53" "1/2" "LT_ODE" 0.1 50 0.4895
"54" "1/2" "LT_ODE" 0.5 50 0.1158
"55" "1/2" "LT_ODE" 1 50 0.0506
"56" "1/2" "LT_ODE" 5 50 0.0176
"57" "1/2" "LT_ODE" 10 50 0.0178
"58" "1/2" "LT_ODE" 50 50 0.0281
"59" "1/2" "LT_ODE" 100 50 0.029
"60" "1/2" "LT_ODE" 500 50 0.0053
"61" "1/2" "LT_ODE" 0.001 100 0.7828
"62" "1/2" "LT_ODE" 0.005 100 0.9106
"63" "1/2" "LT_ODE" 0.01 100 0.9171
"64" "1/2" "LT_ODE" 0.05 100 0.8606
"65" "1/2" "LT_ODE" 0.1 100 0.7418
"66" "1/2" "LT_ODE" 0.5 100 0.2614
"67" "1/2" "LT_ODE" 1 100 0.1368
"68" "1/2" "LT_ODE" 5 100 0.0383
"69" "1/2" "LT_ODE" 10 100 0.0369
"70" "1/2" "LT_ODE" 50 100 0.057
"71" "1/2" "LT_ODE" 100 100 0.0809
"72" "1/2" "LT_ODE" 500 100 0.0153
"73" "2" "LT_ODE" 0.001 50 3e-04
"74" "2" "LT_ODE" 0.005 50 1e-04
"75" "2" "LT_ODE" 0.01 50 1e-04
"76" "2" "LT_ODE" 0.05 50 0.2763
"77" "2" "LT_ODE" 0.1 50 0.3712
"78" "2" "LT_ODE" 0.5 50 0.2491
"79" "2" "LT_ODE" 1 50 0.2117
"80" "2" "LT_ODE" 5 50 0.1146
"81" "2" "LT_ODE" 10 50 0.0781
"82" "2" "LT_ODE" 50 50 0.0297
"83" "2" "LT_ODE" 100 50 0.0096
"84" "2" "LT_ODE" 500 50 0.0024
"85" "2" "LT_ODE" 0.001 100 0
"86" "2" "LT_ODE" 0.005 100 0
"87" "2" "LT_ODE" 0.01 100 0.0299
"88" "2" "LT_ODE" 0.05 100 0.7155
"89" "2" "LT_ODE" 0.1 100 0.6891
"90" "2" "LT_ODE" 0.5 100 0.4289
"91" "2" "LT_ODE" 1 100 0.2991
"92" "2" "LT_ODE" 5 100 0.1699
"93" "2" "LT_ODE" 10 100 0.1248
"94" "2" "LT_ODE" 50 100 0.0518
"95" "2" "LT_ODE" 100 100 0.0178
"96" "2" "LT_ODE" 500 100 0.0038
"97" "1/2" "LT_L2" 0.001 50 0.3197
"98" "1/2" "LT_L2" 0.005 50 0.2686
"99" "1/2" "LT_L2" 0.01 50 0.2368
"100" "1/2" "LT_L2" 0.05 50 0.1858
"101" "1/2" "LT_L2" 0.1 50 0.1546
"102" "1/2" "LT_L2" 0.5 50 0.1076
"103" "1/2" "LT_L2" 1 50 0.0994
"104" "1/2" "LT_L2" 5 50 0.0691
"105" "1/2" "LT_L2" 10 50 0.0666
"106" "1/2" "LT_L2" 50 50 0.0749
"107" "1/2" "LT_L2" 100 50 0.0698
"108" "1/2" "LT_L2" 500 50 0.0283
"109" "1/2" "LT_L2" 0.001 100 0.539
"110" "1/2" "LT_L2" 0.005 100 0.4579
"111" "1/2" "LT_L2" 0.01 100 0.4141
"112" "1/2" "LT_L2" 0.05 100 0.289
"113" "1/2" "LT_L2" 0.1 100 0.2621
"114" "1/2" "LT_L2" 0.5 100 0.1666
"115" "1/2" "LT_L2" 1 100 0.1418
"116" "1/2" "LT_L2" 5 100 0.1019
"117" "1/2" "LT_L2" 10 100 0.0913
"118" "1/2" "LT_L2" 50 100 0.0916
"119" "1/2" "LT_L2" 100 100 0.0896
"120" "1/2" "LT_L2" 500 100 0.0467
"121" "2" "LT_L2" 0.001 50 0.3253
"122" "2" "LT_L2" 0.005 50 0.3008
"123" "2" "LT_L2" 0.01 50 0.3362
"124" "2" "LT_L2" 0.05 50 0.3181
"125" "2" "LT_L2" 0.1 50 0.2722
"126" "2" "LT_L2" 0.5 50 0.1746
"127" "2" "LT_L2" 1 50 0.1398
"128" "2" "LT_L2" 5 50 0.0548
"129" "2" "LT_L2" 10 50 0.0369
"130" "2" "LT_L2" 50 50 0.0206
"131" "2" "LT_L2" 100 50 0.0239
"132" "2" "LT_L2" 500 50 0.02
"133" "2" "LT_L2" 0.001 100 0.5595
"134" "2" "LT_L2" 0.005 100 0.5527
"135" "2" "LT_L2" 0.01 100 0.531
"136" "2" "LT_L2" 0.05 100 0.4851
"137" "2" "LT_L2" 0.1 100 0.4441
"138" "2" "LT_L2" 0.5 100 0.3272
"139" "2" "LT_L2" 1 100 0.2353
"140" "2" "LT_L2" 5 100 0.0866
"141" "2" "LT_L2" 10 100 0.0644
"142" "2" "LT_L2" 50 100 0.0223
"143" "2" "LT_L2" 100 100 0.0213
"144" "2" "LT_L2" 500 100 0.0168
