r,LT_gof_method,Inference_method,beta,power
0.5,LT_L2,MME,1e-13,0
0.5,LT_L2,MME,1e-12,0
0.5,LT_L2,MME,1e-11,0
0.5,LT_L2,MME,1e-10,0
0.5,LT_L2,MME,1e-9,0
0.5,LT_L2,MME,1e-8,0
0.5,LT_L2,MME,1e-7,0
0.5,LT_L2,MME,1e-6,2e-4
0.5,LT_L2,MME,1e-5,0
0.5,LT_L2,MME,1e-4,0.6122
0.5,LT_L2,MME,0.001,0.5672
0.5,LT_L2,MME,0.01,0.4211
0.5,LT_L2,MME,0.1,0.2414
0.5,LT_L2,MME,1,0.0781
0.5,LT_L2,MME,10,0.04
0.5,LT_L2,MME,100,0.087
0.5,LT_L2,MME,1e3,0.042
0.5,LT_L2,partial-MME,1e-13,0.0127
0.5,LT_L2,partial-MME,1e-12,0.0129
0.5,LT_L2,partial-MME,1e-11,0.0128
0.5,LT_L2,partial-MME,1e-10,0.0161
0.5,LT_L2,partial-MME,1e-9,0.0129
0.5,LT_L2,partial-MME,1e-8,0.0125
0.5,LT_L2,partial-MME,1e-7,0.0141
0.5,LT_L2,partial-MME,1e-6,0.0128
0.5,LT_L2,partial-MME,1e-5,0.0212
0.5,LT_L2,partial-MME,1e-4,0.9179
0.5,LT_L2,partial-MME,0.001,0.9357
0.5,LT_L2,partial-MME,0.01,0.9581
0.5,LT_L2,partial-MME,0.1,0.9466
0.5,LT_L2,partial-MME,1,0.8904
0.5,LT_L2,partial-MME,10,0.7514
0.5,LT_L2,partial-MME,100,0.672
0.5,LT_L2,partial-MME,1e3,0.6469
0.75,LT_L2,MME,1e-13,0
0.75,LT_L2,MME,1e-12,0
0.75,LT_L2,MME,1e-11,0
0.75,LT_L2,MME,1e-10,1e-4
0.75,LT_L2,MME,1e-9,0
0.75,LT_L2,MME,1e-8,0
0.75,LT_L2,MME,1e-7,0
0.75,LT_L2,MME,1e-6,0
0.75,LT_L2,MME,1e-5,7e-4
0.75,LT_L2,MME,1e-4,0.1497
0.75,LT_L2,MME,0.001,0.1417
0.75,LT_L2,MME,0.01,0.1201
0.75,LT_L2,MME,0.1,0.0822
0.75,LT_L2,MME,1,0.0511
0.75,LT_L2,MME,10,0.0318
0.75,LT_L2,MME,100,0.0598
0.75,LT_L2,MME,1e3,0.0219
0.75,LT_L2,partial-MME,1e-13,0.0132
0.75,LT_L2,partial-MME,1e-12,0.0094
0.75,LT_L2,partial-MME,1e-11,0.0133
0.75,LT_L2,partial-MME,1e-10,0.0121
0.75,LT_L2,partial-MME,1e-9,0.0127
0.75,LT_L2,partial-MME,1e-8,0.0126
0.75,LT_L2,partial-MME,1e-7,0.0114
0.75,LT_L2,partial-MME,1e-6,0.0117
0.75,LT_L2,partial-MME,1e-5,0.0178
0.75,LT_L2,partial-MME,1e-4,0.3337
0.75,LT_L2,partial-MME,0.001,0.3654
0.75,LT_L2,partial-MME,0.01,0.4097
0.75,LT_L2,partial-MME,0.1,0.353
0.75,LT_L2,partial-MME,1,0.2752
0.75,LT_L2,partial-MME,10,0.2074
0.75,LT_L2,partial-MME,100,0.1789
0.75,LT_L2,partial-MME,1e3,0.1838
1,LT_L2,MME,1e-13,0.0034
1,LT_L2,MME,1e-12,0.0031
1,LT_L2,MME,1e-11,0.0029
1,LT_L2,MME,1e-10,0.0023
1,LT_L2,MME,1e-9,0.0028
1,LT_L2,MME,1e-8,0.0026
1,LT_L2,MME,1e-7,0.0023
1,LT_L2,MME,1e-6,0.0033
1,LT_L2,MME,1e-5,0.0077
1,LT_L2,MME,1e-4,0.0509
1,LT_L2,MME,0.001,0.0527
1,LT_L2,MME,0.01,0.0506
1,LT_L2,MME,0.1,0.0525
1,LT_L2,MME,1,0.0494
1,LT_L2,MME,10,0.037
1,LT_L2,MME,100,0.0387
1,LT_L2,MME,1e3,0.0196
1,LT_L2,partial-MME,1e-13,0.009
1,LT_L2,partial-MME,1e-12,0.0082
1,LT_L2,partial-MME,1e-11,0.0108
1,LT_L2,partial-MME,1e-10,0.0084
1,LT_L2,partial-MME,1e-9,0.0108
1,LT_L2,partial-MME,1e-8,0.0109
1,LT_L2,partial-MME,1e-7,0.0104
1,LT_L2,partial-MME,1e-6,0.0089
1,LT_L2,partial-MME,1e-5,0.0114
1,LT_L2,partial-MME,1e-4,0.0501
1,LT_L2,partial-MME,0.001,0.0496
1,LT_L2,partial-MME,0.01,0.0523
1,LT_L2,partial-MME,0.1,0.0565
1,LT_L2,partial-MME,1,0.0493
1,LT_L2,partial-MME,10,0.0486
1,LT_L2,partial-MME,100,0.0425
1,LT_L2,partial-MME,1e3,0.0404
2,LT_L2,MME,1e-13,0.2801
2,LT_L2,MME,1e-12,0.2908
2,LT_L2,MME,1e-11,0.283
2,LT_L2,MME,1e-10,0.2841
2,LT_L2,MME,1e-9,0.2814
2,LT_L2,MME,1e-8,0.285
2,LT_L2,MME,1e-7,0.2856
2,LT_L2,MME,1e-6,0.2914
2,LT_L2,MME,1e-5,0.2875
2,LT_L2,MME,1e-4,0.5643
2,LT_L2,MME,0.001,0.5698
2,LT_L2,MME,0.01,0.5126
2,LT_L2,MME,0.1,0.4322
2,LT_L2,MME,1,0.2498
2,LT_L2,MME,10,0.1091
2,LT_L2,MME,100,0.0168
2,LT_L2,MME,1e3,0.0039
2,LT_L2,partial-MME,1e-13,0.0147
2,LT_L2,partial-MME,1e-12,0.0129
2,LT_L2,partial-MME,1e-11,0.0112
2,LT_L2,partial-MME,1e-10,0.0148
2,LT_L2,partial-MME,1e-9,0.0142
2,LT_L2,partial-MME,1e-8,0.0083
2,LT_L2,partial-MME,1e-7,0.0122
2,LT_L2,partial-MME,1e-6,0.0103
2,LT_L2,partial-MME,1e-5,0.016
2,LT_L2,partial-MME,1e-4,0.0086
2,LT_L2,partial-MME,0.001,0.0656
2,LT_L2,partial-MME,0.01,0.6594
2,LT_L2,partial-MME,0.1,0.8179
2,LT_L2,partial-MME,1,0.7653
2,LT_L2,partial-MME,10,0.553
2,LT_L2,partial-MME,100,0.3555
2,LT_L2,partial-MME,1e3,0.2927
4,LT_L2,MME,1e-13,0.8085
4,LT_L2,MME,1e-12,0.811
4,LT_L2,MME,1e-11,0.8172
4,LT_L2,MME,1e-10,0.8123
4,LT_L2,MME,1e-9,0.8158
4,LT_L2,MME,1e-8,0.8122
4,LT_L2,MME,1e-7,0.8051
4,LT_L2,MME,1e-6,0.8022
4,LT_L2,MME,1e-5,0.8161
4,LT_L2,MME,1e-4,0.9693
4,LT_L2,MME,0.001,0.9665
4,LT_L2,MME,0.01,0.9606
4,LT_L2,MME,0.1,0.9039
4,LT_L2,MME,1,0.6589
4,LT_L2,MME,10,0.2632
4,LT_L2,MME,100,0.018
4,LT_L2,MME,1e3,0.0019
4,LT_L2,partial-MME,1e-13,0.0149
4,LT_L2,partial-MME,1e-12,0.0131
4,LT_L2,partial-MME,1e-11,0.0131
4,LT_L2,partial-MME,1e-10,0.013
4,LT_L2,partial-MME,1e-9,0.0144
4,LT_L2,partial-MME,1e-8,0.015
4,LT_L2,partial-MME,1e-7,0.0155
4,LT_L2,partial-MME,1e-6,0.0158
4,LT_L2,partial-MME,1e-5,0.0135
4,LT_L2,partial-MME,1e-4,0.3954
4,LT_L2,partial-MME,0.001,0.8702
4,LT_L2,partial-MME,0.01,0.9995
4,LT_L2,partial-MME,0.1,1
4,LT_L2,partial-MME,1,0.9994
4,LT_L2,partial-MME,10,0.9695
4,LT_L2,partial-MME,100,0.8613
4,LT_L2,partial-MME,1e3,0.7924
0.5,LT_ODE,MME,1e-13,0.066
0.5,LT_ODE,MME,1e-12,0.0944
0.5,LT_ODE,MME,1e-11,0.1361
0.5,LT_ODE,MME,1e-10,0.195
0.5,LT_ODE,MME,1e-9,0.2834
0.5,LT_ODE,MME,1e-8,0.3873
0.5,LT_ODE,MME,1e-7,0.522
0.5,LT_ODE,MME,1e-6,0.6673
0.5,LT_ODE,MME,1e-5,0.7636
0.5,LT_ODE,MME,1e-4,0.8077
0.5,LT_ODE,MME,0.001,0.7745
0.5,LT_ODE,MME,0.01,0.9202
0.5,LT_ODE,MME,0.1,0.7462
0.5,LT_ODE,MME,1,0.1346
0.5,LT_ODE,MME,10,0.0374
0.5,LT_ODE,MME,100,0.081
0.5,LT_ODE,MME,1e3,NaN
0.5,LT_ODE,partial-MME,1e-13,0.1928
0.5,LT_ODE,partial-MME,1e-12,0.2486
0.5,LT_ODE,partial-MME,1e-11,0.3184
0.5,LT_ODE,partial-MME,1e-10,0.4078
0.5,LT_ODE,partial-MME,1e-9,0.5107
0.5,LT_ODE,partial-MME,1e-8,0.6387
0.5,LT_ODE,partial-MME,1e-7,0.7275
0.5,LT_ODE,partial-MME,1e-6,0.7048
0.5,LT_ODE,partial-MME,1e-5,0.7016
0.5,LT_ODE,partial-MME,1e-4,0.7159
0.5,LT_ODE,partial-MME,0.001,0.7018
0.5,LT_ODE,partial-MME,0.01,0.8407
0.5,LT_ODE,partial-MME,0.1,0.7444
0.5,LT_ODE,partial-MME,1,0.9017
0.5,LT_ODE,partial-MME,10,0.7624
0.5,LT_ODE,partial-MME,100,0.6698
0.5,LT_ODE,partial-MME,1e3,NaN
0.75,LT_ODE,MME,1e-13,0.0105
0.75,LT_ODE,MME,1e-12,0.0135
0.75,LT_ODE,MME,1e-11,0.0175
0.75,LT_ODE,MME,1e-10,0.0259
0.75,LT_ODE,MME,1e-9,0.0388
0.75,LT_ODE,MME,1e-8,0.0603
0.75,LT_ODE,MME,1e-7,0.0995
0.75,LT_ODE,MME,1e-6,0.1579
0.75,LT_ODE,MME,1e-5,0.2345
0.75,LT_ODE,MME,1e-4,0.2482
0.75,LT_ODE,MME,0.001,0.2453
0.75,LT_ODE,MME,0.01,0.3685
0.75,LT_ODE,MME,0.1,0.2305
0.75,LT_ODE,MME,1,0.0477
0.75,LT_ODE,MME,10,0.0335
0.75,LT_ODE,MME,100,0.0543
0.75,LT_ODE,MME,1e3,NaN
0.75,LT_ODE,partial-MME,1e-13,0.0945
0.75,LT_ODE,partial-MME,1e-12,0.0867
0.75,LT_ODE,partial-MME,1e-11,0.1001
0.75,LT_ODE,partial-MME,1e-10,0.1094
0.75,LT_ODE,partial-MME,1e-9,0.1571
0.75,LT_ODE,partial-MME,1e-8,0.1949
0.75,LT_ODE,partial-MME,1e-7,0.2278
0.75,LT_ODE,partial-MME,1e-6,0.2157
0.75,LT_ODE,partial-MME,1e-5,0.2214
0.75,LT_ODE,partial-MME,1e-4,0.2184
0.75,LT_ODE,partial-MME,0.001,0.2242
0.75,LT_ODE,partial-MME,0.01,0.3038
0.75,LT_ODE,partial-MME,0.1,0.2407
0.75,LT_ODE,partial-MME,1,0.2741
0.75,LT_ODE,partial-MME,10,0.2086
0.75,LT_ODE,partial-MME,100,0.1879
0.75,LT_ODE,partial-MME,1e3,NaN
1,LT_ODE,MME,1e-13,0.0587
1,LT_ODE,MME,1e-12,0.0577
