U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,0.1,MME,exp,geom,geom,CvM,35,0.0437
exp,0.2,MME,exp,geom,geom,CvM,35,0.0491
exp,0.30000000000000004,MME,exp,geom,geom,CvM,35,0.0488
exp,0.4,MME,exp,geom,geom,CvM,35,0.0491
exp,0.5,MME,exp,geom,geom,CvM,35,0.0533
exp,0.6,MME,exp,geom,geom,CvM,35,0.0484
exp,0.7000000000000001,MME,exp,geom,geom,CvM,35,0.0504
exp,0.8,MME,exp,geom,geom,CvM,35,0.0447
exp,0.9,MME,exp,geom,geom,CvM,35,0.0351
exp,0.1,MME,exp,geom,geom,KS,35,0.0473
exp,0.2,MME,exp,geom,geom,KS,35,0.0194
exp,0.30000000000000004,MME,exp,geom,geom,KS,35,0.0328
exp,0.4,MME,exp,geom,geom,KS,35,0.0465
exp,0.5,MME,exp,geom,geom,KS,35,0.0418
exp,0.6,MME,exp,geom,geom,KS,35,0.0459
exp,0.7000000000000001,MME,exp,geom,geom,KS,35,0.0409
exp,0.8,MME,exp,geom,geom,KS,35,0.0367
exp,0.9,MME,exp,geom,geom,KS,35,0.0292
exp,0.1,partial-MME,exp,geom,geom,CvM,35,0.0105
exp,0.2,partial-MME,exp,geom,geom,CvM,35,0.0515
exp,0.30000000000000004,partial-MME,exp,geom,geom,CvM,35,0.0503
exp,0.4,partial-MME,exp,geom,geom,CvM,35,0.0522
exp,0.5,partial-MME,exp,geom,geom,CvM,35,0.0499
exp,0.6,partial-MME,exp,geom,geom,CvM,35,0.0557
exp,0.7000000000000001,partial-MME,exp,geom,geom,CvM,35,0.054
exp,0.8,partial-MME,exp,geom,geom,CvM,35,0.0466
exp,0.9,partial-MME,exp,geom,geom,CvM,35,0.05
exp,0.1,partial-MME,exp,geom,geom,KS,35,0.0104
exp,0.2,partial-MME,exp,geom,geom,KS,35,0.0477
exp,0.30000000000000004,partial-MME,exp,geom,geom,KS,35,0.0501
exp,0.4,partial-MME,exp,geom,geom,KS,35,0.0462
exp,0.5,partial-MME,exp,geom,geom,KS,35,0.0517
exp,0.6,partial-MME,exp,geom,geom,KS,35,0.0445
exp,0.7000000000000001,partial-MME,exp,geom,geom,KS,35,0.0415
exp,0.8,partial-MME,exp,geom,geom,KS,35,0.0442
exp,0.9,partial-MME,exp,geom,geom,KS,35,0.0395
exp,0.1,MME,exp,geom,geom,LT_L2,0.001,0.0443
exp,0.2,MME,exp,geom,geom,LT_L2,0.001,0.0536
exp,0.30000000000000004,MME,exp,geom,geom,LT_L2,0.001,0.0521
exp,0.4,MME,exp,geom,geom,LT_L2,0.001,0.0483
exp,0.5,MME,exp,geom,geom,LT_L2,0.001,0.0457
exp,0.6,MME,exp,geom,geom,LT_L2,0.001,0.043
exp,0.7000000000000001,MME,exp,geom,geom,LT_L2,0.001,0.041
exp,0.8,MME,exp,geom,geom,LT_L2,0.001,0.0394
exp,0.9,MME,exp,geom,geom,LT_L2,0.001,0.0357
exp,0.1,partial-MME,exp,geom,geom,LT_L2,0.001,0.0186
exp,0.2,partial-MME,exp,geom,geom,LT_L2,0.001,0.0305
exp,0.30000000000000004,partial-MME,exp,geom,geom,LT_L2,0.001,0.0327
exp,0.4,partial-MME,exp,geom,geom,LT_L2,0.001,0.0403
exp,0.5,partial-MME,exp,geom,geom,LT_L2,0.001,0.0423
exp,0.6,partial-MME,exp,geom,geom,LT_L2,0.001,0.0367
exp,0.7000000000000001,partial-MME,exp,geom,geom,LT_L2,0.001,0.0365
exp,0.8,partial-MME,exp,geom,geom,LT_L2,0.001,0.0385
exp,0.9,partial-MME,exp,geom,geom,LT_L2,0.001,0.0336
exp,0.1,MME,exp,geom,geom,LT_L2,0.01,0.0396
exp,0.2,MME,exp,geom,geom,LT_L2,0.01,0.0581
