U_alt,shape_U,U_H0,method_GOF,beta,power
gamma,0.2,exp,CvM,35,1
gamma,0.4,exp,CvM,35,0.9669
gamma,0.6000000000000001,exp,CvM,35,0.5482
gamma,0.8,exp,CvM,35,0.1449
gamma,1,exp,CvM,35,0.0554
gamma,1.2,exp,CvM,35,0.0996
gamma,1.4000000000000001,exp,CvM,35,0.2151
gamma,1.6,exp,CvM,35,0.3685
gamma,1.8,exp,CvM,35,0.512
gamma,2,exp,CvM,35,0.6585
gamma,0.2,gamma,CvM,35,0.053
gamma,0.4,gamma,CvM,35,0.0535
gamma,0.6000000000000001,gamma,CvM,35,0.0521
gamma,0.8,gamma,CvM,35,0.0513
gamma,1,gamma,CvM,35,0.053
gamma,1.2,gamma,CvM,35,0.0459
gamma,1.4000000000000001,gamma,CvM,35,0.042
gamma,1.6,gamma,CvM,35,0.0425
gamma,1.8,gamma,CvM,35,0.0449
gamma,2,gamma,CvM,35,0.0395
gamma,0.2,invgauss,CvM,35,0.9844
gamma,0.4,invgauss,CvM,35,0.7718
gamma,0.6000000000000001,invgauss,CvM,35,0.4849
gamma,0.8,invgauss,CvM,35,0.2918
gamma,1,invgauss,CvM,35,0.2204
gamma,1.2,invgauss,CvM,35,0.1332
gamma,1.4000000000000001,invgauss,CvM,35,0.1073
gamma,1.6,invgauss,CvM,35,0.0821
gamma,1.8,invgauss,CvM,35,0.0628
gamma,2,invgauss,CvM,35,0.0551
weibull,0.2,exp,CvM,35,1
weibull,0.4,exp,CvM,35,1
weibull,0.6000000000000001,exp,CvM,35,0.9625
weibull,0.8,exp,CvM,35,0.3441
weibull,1,exp,CvM,35,0.0525
weibull,1.2,exp,CvM,35,0.1874
weibull,1.4000000000000001,exp,CvM,35,0.5273
weibull,1.6,exp,CvM,35,0.8088
weibull,1.8,exp,CvM,35,0.9393
weibull,2,exp,CvM,35,0.9831
weibull,0.2,gamma,CvM,35,0.3985
weibull,0.4,gamma,CvM,35,0.3004
weibull,0.6000000000000001,gamma,CvM,35,0.1462
weibull,0.8,gamma,CvM,35,0.0712
weibull,1,gamma,CvM,35,0.0455
weibull,1.2,gamma,CvM,35,0.0447
weibull,1.4000000000000001,gamma,CvM,35,0.0403
weibull,1.6,gamma,CvM,35,0.0332
weibull,1.8,gamma,CvM,35,0.0281
weibull,2,gamma,CvM,35,0.0286
weibull,0.2,invgauss,CvM,35,0.9813
weibull,0.4,invgauss,CvM,35,0.6117
weibull,0.6000000000000001,invgauss,CvM,35,0.401
weibull,0.8,invgauss,CvM,35,0.3052
weibull,1,invgauss,CvM,35,0.2011
weibull,1.2,invgauss,CvM,35,0.1374
weibull,1.4000000000000001,invgauss,CvM,35,0.093
weibull,1.6,invgauss,CvM,35,0.0505
weibull,1.8,invgauss,CvM,35,0.0385
weibull,2,invgauss,CvM,35,0.0275
invgauss,0.2,exp,CvM,35,1
invgauss,0.4,exp,CvM,35,0.9783
invgauss,0.6000000000000001,exp,CvM,35,0.71
invgauss,0.8,exp,CvM,35,0.3631
invgauss,1,exp,CvM,35,0.1765
invgauss,1.2,exp,CvM,35,0.1557
invgauss,1.4000000000000001,exp,CvM,35,0.1735
invgauss,1.6,exp,CvM,35,0.2719
invgauss,1.8,exp,CvM,35,0.3649
invgauss,2,exp,CvM,35,0.4757
invgauss,0.2,gamma,CvM,35,0.0277
invgauss,0.4,gamma,CvM,35,0.0409
invgauss,0.6000000000000001,gamma,CvM,35,0.0942
invgauss,0.8,gamma,CvM,35,0.1512
invgauss,1,gamma,CvM,35,0.206
invgauss,1.2,gamma,CvM,35,0.2486
invgauss,1.4000000000000001,gamma,CvM,35,0.298
invgauss,1.6,gamma,CvM,35,0.3223
invgauss,1.8,gamma,CvM,35,0.3612
invgauss,2,gamma,CvM,35,0.3809
invgauss,0.2,invgauss,CvM,35,0.0283
invgauss,0.4,invgauss,CvM,35,0.0303
invgauss,0.6000000000000001,invgauss,CvM,35,0.0327
invgauss,0.8,invgauss,CvM,35,0.0427
invgauss,1,invgauss,CvM,35,0.0452
invgauss,1.2,invgauss,CvM,35,0.0507
